Date,Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
2005-05-08,4,11,12,13,6,18,13,10,9,11
2005-05-09,8,8,13,15,10,14,12,7,10,10
2005-05-10,11,7,8,8,6,15,15,7,13,17
2005-05-11,10,18,12,17,9,5,4,9,11,12
2005-05-12,6,11,10,9,16,16,6,14,8,11
2005-05-13,13,13,10,8,13,10,7,15,9,9
2005-05-14,9,11,11,10,8,12,9,14,8,15
2005-05-15,9,11,8,8,10,14,18,10,10,9
2005-05-16,11,4,16,15,8,11,15,7,11,9
2005-05-17,10,13,9,12,5,15,12,10,6,15
2005-05-18,11,10,12,13,11,7,14,6,11,12
2005-05-19,10,12,12,9,10,14,10,7,13,10
2005-05-20,13,5,12,10,10,9,11,14,10,13
2005-05-21,12,9,10,7,11,9,12,9,15,13
2005-05-22,9,13,15,11,13,9,5,9,6,17
2005-05-23,8,4,9,12,15,21,15,9,8,6
2005-05-24,12,15,13,12,10,11,11,7,11,5
2005-05-25,8,7,10,8,10,14,18,14,8,10
2005-05-26,7,6,15,15,16,11,7,9,9,12
2005-05-27,6,13,10,9,12,8,12,14,13,10
2005-05-28,26,8,11,17,9,5,5,9,9,8
2005-05-29,8,10,10,12,10,11,7,10,15,14
2005-05-30,10,9,9,10,12,19,11,16,5,6
2005-05-31,9,10,8,10,14,12,11,13,9,11
2005-06-01,14,10,17,6,13,9,13,9,6,10
2005-06-02,7,18,11,13,9,14,7,12,9,7
2005-06-03,8,7,16,11,14,9,16,7,8,11
2005-06-04,12,19,10,7,9,8,7,16,10,9
2005-06-05,10,11,6,17,14,7,15,13,6,8
2005-06-06,11,8,15,14,9,13,7,12,11,7
2005-06-07,14,5,9,12,11,12,12,10,10,12
2005-06-08,13,11,5,11,14,14,8,15,13,3
2005-06-09,10,10,12,7,13,12,11,8,16,8
2005-06-10,6,16,17,10,6,10,10,13,12,7
2005-06-11,14,14,4,10,17,16,9,6,8,9
2005-06-12,10,9,10,10,13,10,9,10,18,8
2005-06-13,10,12,6,15,14,10,12,6,8,14
2005-06-14,10,13,9,13,13,10,10,13,9,7
2005-06-15,7,7,13,7,14,12,10,9,15,13
2005-06-16,7,10,11,13,15,8,14,9,9,11
2005-06-17,6,10,14,14,9,12,14,9,11,8
2005-06-18,15,8,11,9,12,11,7,13,10,11
2005-06-19,6,13,11,11,7,16,13,9,12,9
2005-06-20,10,16,8,8,8,12,8,13,16,8
2005-06-21,8,8,10,9,14,12,13,11,12,10
2005-06-22,13,8,9,13,13,10,13,7,9,12
2005-06-23,9,8,14,7,16,15,8,7,13,10
2005-06-24,10,10,14,9,5,15,9,14,9,12
2005-06-25,15,14,11,7,9,6,16,12,10,7
2005-06-26,14,6,13,14,12,11,7,5,14,11
2005-06-27,8,13,10,18,10,12,11,7,8,10
2005-06-28,11,13,12,11,9,14,12,10,9,6
2005-06-29,15,8,8,9,12,10,13,11,8,13
2005-06-30,8,13,18,13,8,9,7,8,13,10
2005-07-01,17,12,13,4,8,10,10,10,13,10
2005-07-02,8,12,11,11,8,10,9,11,11,16
2005-07-03,10,7,11,10,9,7,15,5,20,13
2005-07-04,12,15,10,14,11,11,7,14,9,4
2005-07-05,7,10,16,15,6,12,14,14,9,4
2005-07-06,8,17,11,12,5,11,7,10,11,15
2005-07-07,7,10,7,10,18,13,13,13,7,9
2005-07-08,18,11,15,11,7,11,9,7,10,8
2005-07-09,10,14,12,11,14,11,8,11,4,12
2005-07-10,14,7,15,8,12,10,7,15,9,10
2005-07-11,5,15,5,16,11,8,11,12,13,11
2005-07-12,6,11,15,9,12,12,2,14,12,14
2005-07-13,8,12,13,9,10,6,18,11,11,9
2005-07-14,15,12,12,7,11,8,14,10,13,5
2005-07-15,8,14,13,13,9,14,5,9,9,13
2005-07-16,11,14,15,11,13,9,5,13,11,5
2005-07-17,9,13,5,13,14,13,11,10,10,9
2005-07-18,12,14,11,15,9,11,10,8,8,9
2005-07-19,6,15,10,14,8,5,8,12,10,19
2005-07-20,6,12,12,10,17,10,11,13,5,11
2005-07-21,14,10,9,11,18,10,11,9,10,5
2005-07-22,6,13,14,4,14,6,10,12,13,15
2005-07-23,10,11,9,7,16,9,11,8,15,11
2005-07-24,14,14,6,8,6,10,15,11,9,14
2005-07-25,9,11,14,10,10,10,12,11,10,10
2005-07-26,10,13,16,8,7,15,10,12,3,13
2005-07-27,7,5,6,15,12,11,7,16,14,14
2005-07-28,8,10,11,8,11,11,16,8,14,10
2005-07-29,13,5,10,8,8,13,16,12,8,14
2005-07-30,12,11,10,7,12,10,8,15,9,13
2005-07-31,14,11,9,11,8,8,8,12,13,13
2005-08-01,8,14,7,16,9,12,8,12,16,5
2005-08-02,8,10,9,14,15,8,7,11,16,9
2005-08-03,9,13,14,7,13,7,12,7,7,18
2005-08-04,10,9,16,14,8,10,12,10,7,11
2005-08-05,11,10,10,11,14,10,13,11,9,8
2005-08-06,13,11,8,11,7,15,15,7,9,11
2005-08-07,3,15,18,9,7,10,12,9,14,10
2005-08-08,11,14,11,9,6,11,9,16,7,13
2005-08-09,16,10,4,15,13,12,8,6,14,9
2005-08-10,15,10,8,12,11,8,9,11,11,12
2005-08-11,8,20,16,7,6,11,14,9,8,8
2005-08-12,13,5,13,13,12,7,9,12,13,10
2005-08-13,16,11,11,4,9,15,10,10,11,10
2005-08-14,10,9,12,13,8,10,12,9,13,11
2005-08-15,11,11,9,11,12,14,6,12,5,16
2005-08-16,10,14,7,11,10,14,12,10,7,12
2005-08-17,9,8,13,10,16,4,12,16,12,7
2005-08-18,17,10,13,11,12,6,7,9,8,14
2005-08-19,11,7,9,15,12,11,11,12,8,11
2005-08-20,9,13,10,9,10,10,8,13,19,6
2005-08-21,7,15,7,15,15,10,10,8,9,11
2005-08-22,9,12,9,10,13,13,8,8,15,10
2005-08-23,10,7,14,8,6,12,13,9,17,11
2005-08-24,8,7,11,14,14,14,10,12,5,12
2005-08-25,6,14,10,12,15,11,10,5,10,14
2005-08-26,13,15,16,14,7,8,7,4,7,16
2005-08-27,14,10,15,12,15,6,12,10,8,5
2005-08-28,12,4,13,12,9,13,8,13,13,10
2005-08-29,6,15,11,5,11,8,16,12,10,13
2005-08-30,10,13,11,11,8,12,7,12,14,9
2005-08-31,8,14,13,11,10,13,12,12,9,5
2005-09-01,5,11,8,9,13,11,14,15,11,10
2005-09-02,11,16,11,8,10,7,12,14,13,5
2005-09-03,7,8,13,16,4,9,11,11,13,15
2005-09-04,8,12,11,11,12,7,14,14,11,7
2005-09-05,7,11,13,12,14,9,10,11,11,9
2005-09-06,12,13,8,12,12,10,8,9,10,13
2005-09-07,10,9,7,11,17,9,10,7,13,14
2005-09-08,9,6,11,11,13,10,14,10,12,11
2005-09-09,13,10,6,12,8,14,10,11,9,14
2005-09-10,16,6,10,12,7,8,19,5,15,9
2005-09-11,12,14,6,10,11,19,9,12,8,6
2005-09-12,12,13,10,7,13,5,10,16,14,7
2005-09-13,10,7,12,12,13,17,12,5,6,13
2005-09-14,7,9,8,12,12,12,7,12,15,13
2005-09-15,14,17,5,8,9,12,10,7,9,16
2005-09-16,9,8,7,12,7,12,11,7,15,19
2005-09-17,9,10,11,13,9,12,13,11,12,7
2005-09-18,16,12,12,7,8,14,10,12,6,10
2005-09-19,13,9,13,7,12,6,10,11,15,11
2005-09-20,14,13,17,14,10,4,8,9,11,7
2005-09-21,12,15,9,11,5,12,10,12,8,13
2005-09-22,7,7,8,15,15,10,12,10,12,11
2005-09-23,8,20,15,7,10,9,11,8,12,7
2005-09-24,10,11,12,12,14,7,10,7,12,12
2005-09-25,11,8,8,12,11,10,13,15,7,12
2005-09-26,11,12,12,10,15,8,10,9,12,8
2005-09-27,17,11,11,8,13,11,7,10,10,9
2005-09-28,6,13,16,8,6,14,16,10,5,13
2005-09-29,14,6,11,9,9,12,20,8,7,11
2005-09-30,14,13,4,15,6,8,14,14,12,7
2005-10-01,8,5,15,12,18,10,7,9,11,12
2005-10-02,10,12,11,17,6,14,5,9,13,10
2005-10-03,12,14,10,5,10,11,7,13,11,14
2005-10-04,9,7,11,17,14,11,7,16,6,9
2005-10-05,10,15,8,6,11,13,8,10,18,8
2005-10-06,6,15,12,11,12,12,9,12,11,7
2005-10-07,10,16,12,9,8,11,10,12,13,6
2005-10-08,12,4,11,9,8,12,16,17,10,8
2005-10-09,8,19,13,10,10,10,3,13,10,11
2005-10-10,8,5,7,8,12,16,14,13,10,14
2005-10-11,16,6,6,8,19,10,11,8,11,12
2005-10-12,7,14,12,13,11,8,8,11,10,13
2005-10-13,11,4,13,11,14,17,12,9,9,7
2005-10-14,14,13,11,8,15,8,14,6,10,8
2005-10-15,11,12,10,7,10,7,12,11,14,13
2005-10-16,10,11,13,18,11,14,8,7,8,7
2005-10-17,6,11,7,12,15,8,11,12,11,14
2005-10-18,9,16,9,11,6,13,9,11,12,11
2005-10-19,9,11,9,13,9,11,15,4,14,12
2005-10-20,8,11,8,3,12,13,16,18,10,8
2005-10-21,15,8,13,11,11,8,6,13,14,8
2005-10-22,15,7,9,10,9,9,11,8,17,12
2005-10-23,11,8,9,8,12,11,17,9,13,9
2005-10-24,12,15,11,11,7,3,12,16,7,13
2005-10-25,13,13,8,10,7,10,10,11,15,10
2005-10-26,6,11,9,16,14,10,12,7,9,13
2005-10-27,12,7,11,11,11,9,11,10,11,14
2005-10-28,5,9,13,12,9,11,14,9,13,12
2005-10-29,13,7,10,11,14,8,8,16,10,10
2005-10-30,9,13,10,5,13,10,10,17,11,9
2005-10-31,12,8,8,14,7,8,15,15,6,14
2005-11-01,10,10,13,10,8,19,7,10,7,13
2005-11-02,10,6,10,11,11,12,13,12,12,10
2005-11-03,13,7,13,12,8,17,9,6,10,12
2005-11-04,10,17,6,8,10,10,15,10,10,11
2005-11-05,8,7,17,14,9,12,12,6,9,13
2005-11-06,4,9,11,8,13,17,7,15,11,12
2005-11-07,10,12,7,9,9,11,14,16,8,11
2005-11-08,13,8,13,8,11,7,13,15,14,5
2005-11-09,12,11,13,7,10,12,11,10,10,11
2005-11-10,7,7,18,12,12,7,10,11,11,12
2005-11-11,11,8,12,9,11,10,11,18,8,9
2005-11-12,5,14,11,6,12,9,11,17,9,13
2005-11-13,10,9,8,10,13,12,8,9,16,12
2005-11-14,4,12,8,23,12,8,6,10,17,7
2005-11-15,7,18,7,8,13,11,9,15,11,8
2005-11-16,8,9,13,13,11,9,9,9,13,13
2005-11-17,14,12,13,14,6,7,14,8,9,10
2005-11-18,9,11,16,11,10,9,12,12,2,15
2005-11-19,10,16,11,6,12,3,16,10,11,12
2005-11-20,12,12,7,10,7,12,13,12,11,11
2005-11-21,10,15,13,13,9,9,7,17,8,6
2005-11-22,10,9,9,10,9,9,12,13,13,13
2005-11-23,10,12,14,7,13,10,9,8,16,8
2005-11-24,11,16,14,6,9,13,9,9,14,6
2005-11-25,9,8,16,12,11,8,12,15,8,8
2005-11-26,18,10,16,10,7,7,7,7,16,9
2005-11-27,5,17,10,5,18,8,11,16,12,5
2005-11-28,8,6,19,15,6,10,13,10,11,9
2005-11-29,10,18,9,13,10,12,8,9,8,10
2005-11-30,12,11,13,9,14,10,10,12,10,6
2005-12-01,8,8,9,12,6,14,14,10,12,14
2005-12-02,6,8,10,11,13,13,8,14,9,15
2005-12-03,13,7,10,13,14,9,10,11,7,13
2005-12-04,12,7,8,19,7,12,7,11,12,12
2005-12-05,11,7,16,12,11,16,8,15,5,6
2005-12-06,11,18,11,12,5,11,7,10,9,13
2005-12-07,8,18,4,14,6,12,9,12,13,11
2005-12-08,5,9,12,12,11,18,12,9,10,9
2005-12-09,9,10,10,15,8,12,8,15,6,14
2005-12-10,14,10,14,10,10,13,7,8,8,13
2005-12-11,8,11,5,6,10,17,14,10,12,14
2005-12-12,8,8,12,20,11,11,8,10,12,7
2005-12-13,9,13,12,6,11,18,9,9,6,14
2005-12-14,9,13,11,11,16,9,10,10,8,10
2005-12-15,12,11,8,3,11,10,14,16,12,10
2005-12-16,5,10,14,8,15,13,11,10,9,12
2005-12-17,12,9,12,6,16,12,10,10,12,8
2005-12-18,4,8,9,12,13,10,14,11,16,10
2005-12-19,9,12,10,10,8,12,14,9,11,12
2005-12-20,7,14,14,8,12,13,8,11,8,12
2005-12-21,11,6,14,14,17,5,13,15,2,10
2005-12-22,8,8,13,11,11,12,13,12,10,9
2005-12-23,11,10,13,8,11,10,12,13,11,8
2005-12-24,6,8,16,13,12,6,7,11,17,11
2005-12-25,8,16,13,14,12,10,7,8,8,11
2005-12-26,9,15,8,11,9,7,14,9,10,15
2005-12-27,12,8,6,14,14,11,13,10,13,6
2005-12-28,14,7,10,13,7,8,17,9,10,12
2005-12-29,7,3,6,5,16,9,19,14,12,16
2005-12-30,9,17,5,11,14,8,10,6,15,12
2005-12-31,8,10,11,15,10,11,11,7,15,9
2006-01-01,13,7,12,14,10,9,11,8,11,12
2006-01-02,9,6,19,6,13,14,16,5,5,14
2006-01-03,14,12,13,14,3,5,17,7,10,12
2006-01-04,13,9,10,11,18,6,7,10,10,13
2006-01-05,10,4,16,16,8,12,8,14,8,11
2006-01-06,9,11,16,7,16,10,10,11,9,8
2006-01-07,11,14,10,6,13,12,5,10,12,14
2006-01-08,6,8,12,13,14,12,7,15,9,11
2006-01-09,11,10,13,6,11,15,11,11,8,11
2006-01-10,6,17,10,12,12,8,8,11,10,13
2006-01-11,5,15,15,15,7,9,13,13,8,7
2006-01-12,9,10,12,11,11,10,9,12,10,13
2006-01-13,12,11,10,13,10,4,14,12,12,9
2006-01-14,10,13,16,7,12,6,12,6,14,11
2006-01-15,7,5,14,12,12,12,10,13,14,8
2006-01-16,6,11,18,10,7,8,11,9,12,15
2006-01-17,8,14,10,11,9,10,9,9,13,14
2006-01-18,7,12,10,8,21,9,7,8,16,9
2006-01-19,11,8,10,9,6,12,11,12,18,10
2006-01-20,12,11,13,7,10,11,5,14,11,13
2006-01-21,6,13,8,8,9,12,9,17,11,14
2006-01-22,11,4,11,13,8,12,13,11,11,13
2006-01-23,9,12,13,8,11,10,16,4,10,14
2006-01-24,6,13,16,6,11,10,15,9,12,9
2006-01-25,10,9,14,8,8,14,6,17,10,11
2006-01-26,6,8,9,13,14,15,9,12,13,8
2006-01-27,13,12,11,10,9,7,11,10,11,13
2006-01-28,0,0,0,0,0,0,0,0,0,0
2006-01-29,0,0,0,0,0,0,0,0,0,0
2006-01-30,8,13,9,12,13,12,11,12,7,10
2006-01-31,15,8,9,14,11,7,10,9,11,13
2006-02-01,14,11,4,11,14,8,15,10,9,11
2006-02-02,12,15,14,9,6,8,10,15,6,12
2006-02-03,11,13,14,8,10,9,13,6,8,15
2006-02-04,8,13,16,6,8,14,11,12,11,8
2006-02-05,11,16,16,10,7,10,9,6,14,8
2006-02-06,11,9,8,14,12,12,10,11,6,14
2006-02-07,9,9,11,6,9,15,13,15,10,10
2006-02-08,18,9,12,9,6,11,8,10,9,15
2006-02-09,7,15,8,14,6,16,10,7,11,13
2006-02-10,8,12,11,6,10,8,14,8,11,19
2006-02-11,7,10,5,10,9,9,11,12,17,17
2006-02-12,14,11,9,10,11,8,12,11,14,7
2006-02-13,6,13,17,16,5,10,8,11,7,14
2006-02-14,16,8,11,11,12,4,12,9,12,12
2006-02-15,11,10,11,13,9,7,12,7,13,14
2006-02-16,7,8,14,8,8,13,16,11,13,9
2006-02-17,11,12,13,10,11,7,8,16,7,12
2006-02-18,15,10,13,12,13,11,11,8,7,7
2006-02-19,9,9,12,12,17,13,8,11,6,10
2006-02-20,13,10,15,11,14,7,7,12,6,12
2006-02-21,9,13,13,12,14,8,12,12,5,9
2006-02-22,10,13,13,6,14,12,11,11,12,5
2006-02-23,9,13,7,12,7,12,13,13,12,9
2006-02-24,11,16,14,6,7,12,9,11,10,11
2006-02-25,18,9,9,7,15,6,12,9,8,14
2006-02-26,9,19,8,15,13,8,10,10,8,7
2006-02-27,9,10,11,13,10,14,10,7,9,14
2006-02-28,8,16,12,12,14,9,9,10,6,11
2006-03-01,7,17,6,8,14,8,9,13,17,8
2006-03-02,9,13,15,9,12,5,11,5,14,14
2006-03-03,11,12,11,8,9,17,14,8,11,6
2006-03-04,10,10,9,8,12,13,11,6,16,12
2006-03-05,13,10,9,17,5,7,15,8,13,10
2006-03-06,14,11,7,9,7,10,11,13,12,13
2006-03-07,22,8,18,9,10,8,5,8,9,10
2006-03-08,12,11,8,14,13,8,16,7,10,8
2006-03-09,10,11,15,12,8,14,8,13,9,7
2006-03-10,11,11,7,10,11,10,15,9,9,14
2006-03-11,11,11,12,15,11,9,15,12,6,5
2006-03-12,13,7,14,10,9,10,16,6,13,9
2006-03-13,18,9,8,6,8,14,11,14,6,13
2006-03-14,9,12,8,5,11,13,7,15,9,18
2006-03-15,10,7,14,11,10,5,8,12,17,13
2006-03-16,11,9,14,11,15,8,15,5,7,12
2006-03-17,8,6,13,16,6,11,15,14,7,11
2006-03-18,7,11,12,6,9,19,11,13,8,11
2006-03-19,18,10,12,11,14,5,7,9,12,9
2006-03-20,8,11,10,17,11,11,13,14,6,6
2006-03-21,9,13,3,13,10,5,9,13,16,16
2006-03-22,13,14,20,3,9,6,14,6,11,11
2006-03-23,14,9,9,10,9,9,7,12,14,14
2006-03-24,8,3,11,7,12,14,13,14,13,12
2006-03-25,6,9,15,18,10,13,14,8,7,7
2006-03-26,6,5,14,11,16,11,12,10,15,7
2006-03-27,9,13,9,7,7,17,10,17,13,5
2006-03-28,10,13,13,11,14,8,11,7,10,10
2006-03-29,10,11,12,9,14,10,12,14,10,5
2006-03-30,10,7,18,11,9,12,5,14,9,12
2006-03-31,8,13,13,11,10,18,9,10,6,9
2006-04-01,8,12,16,8,15,10,10,6,9,13
2006-04-02,12,12,6,13,10,17,9,9,8,11
2006-04-03,7,8,12,14,4,12,8,16,11,15
2006-04-04,9,7,17,7,11,12,10,14,11,9
2006-04-05,12,12,13,10,12,10,6,15,9,8
2006-04-06,12,10,9,13,12,6,8,17,14,6
2006-04-07,8,16,11,14,9,8,11,10,12,8
2006-04-08,7,11,9,9,15,11,8,9,14,14
2006-04-09,12,8,13,17,11,8,4,13,8,13
2006-04-10,8,11,11,12,8,15,10,9,11,12
2006-04-11,12,9,10,11,10,17,9,9,5,15
2006-04-12,8,5,16,11,17,7,11,15,7,10
2006-04-13,8,11,16,8,11,6,15,14,9,9
2006-04-14,18,16,9,8,10,3,10,15,10,8
2006-04-15,12,7,12,10,12,9,12,9,11,13
2006-04-16,10,5,8,17,14,11,10,8,9,15
2006-04-17,14,8,17,9,9,10,12,13,8,7
2006-04-18,10,9,14,11,14,15,5,11,10,8
2006-04-19,10,12,9,5,9,9,12,20,6,15
2006-04-20,12,16,11,11,12,13,10,8,4,10
2006-04-21,7,13,7,8,10,17,7,12,10,16
2006-04-22,8,8,13,13,11,6,14,9,12,13
2006-04-23,9,16,7,15,15,10,5,11,11,8
2006-04-24,14,3,8,12,9,16,5,7,15,18
2006-04-25,12,16,8,10,7,15,9,13,8,9
2006-04-26,10,12,11,15,13,12,11,10,8,5
2006-04-27,7,13,9,14,8,11,11,12,7,15
2006-04-28,12,10,10,11,5,11,10,10,17,11
2006-04-29,11,7,11,12,10,12,7,12,12,13
2006-04-30,8,7,12,11,8,15,11,13,10,12
2006-05-01,10,11,13,11,7,11,12,14,10,8
2006-05-02,5,14,14,13,11,10,12,6,17,5
2006-05-03,8,7,13,13,12,9,12,10,12,11
2006-05-04,7,12,8,10,17,18,10,7,14,4
2006-05-05,11,10,13,8,13,14,9,12,9,8
2006-05-06,15,13,12,10,17,10,8,3,8,11
2006-05-07,15,10,4,13,13,19,8,9,10,6
2006-05-08,8,14,14,12,5,10,11,11,13,9
2006-05-09,12,12,12,11,16,5,10,9,9,11
2006-05-10,13,8,9,13,9,10,6,13,11,15
2006-05-11,8,12,12,7,10,13,10,12,10,13
2006-05-12,4,10,12,10,10,15,6,10,15,15
2006-05-13,9,17,7,9,14,11,13,12,5,10
2006-05-14,8,11,11,11,10,9,10,9,16,12
2006-05-15,4,12,13,15,11,6,12,17,7,10
2006-05-16,7,10,8,13,8,16,19,11,8,7
2006-05-17,13,10,9,9,16,10,13,11,5,11
2006-05-18,10,10,13,14,11,12,12,12,4,9
2006-05-19,12,11,14,9,9,14,6,12,9,11
2006-05-20,13,7,9,8,11,8,10,12,14,15
2006-05-21,13,12,7,13,12,10,12,12,7,9
2006-05-22,14,10,11,9,9,11,8,6,13,16
2006-05-23,11,12,10,9,14,12,11,11,6,11
2006-05-24,11,9,11,15,10,9,10,19,7,6
2006-05-25,11,10,10,10,12,17,10,8,9,10
2006-05-26,12,11,12,6,12,16,15,8,8,7
2006-05-27,14,9,16,7,10,9,8,14,12,8
2006-05-28,13,8,13,7,10,11,9,16,7,13
2006-05-29,9,13,11,9,5,13,17,8,15,7
2006-05-30,8,9,15,14,6,11,6,14,14,10
